city,place_name,title,link,postdate,source,sentence,sentence_label
가루이자와,구 가루이자와 긴자 거리,가루이자와(軽井沢).. 쿠모바이케 &amp; (구)가루이자와 긴자 거리,https://blog.naver.com/tiky4784/224281899198,20260511,naver_blog,전통적인 가루이자와 의 상점가 거리로 이어진다,4번 (아기자기/소박)
가루이자와,구 가루이자와 긴자 거리,폭포&amp;쿠모바이케&amp;구 가루이자와 긴자 거리&amp;가루이자와 아울렛... ,https://blog.naver.com/smilemiso29/223659821028,20241114,naver_blog,다시 말하자면 약 6년 전의 물이 시라이토 폭포에 흐르고 있다는 겁니다.,2번 (레트로/빈티지)
가루이자와,구 가루이자와 긴자 거리,폭포&amp;쿠모바이케&amp;구 가루이자와 긴자 거리&amp;가루이자와 아울렛... ,https://blog.naver.com/smilemiso29/223659821028,20241114,naver_blog,"지하수가 수원이기 때문에 수량이 항상 고정적이며 혼탁해지지 않고, 계절이나 날씨의 영향도 받지 않아 언제 방문해도 항상 아름다운 풍경을 감상할 수 있습니다.",1번 (고즈넉/사색)
가루이자와,구 가루이자와 긴자 거리,폭포&amp;쿠모바이케&amp;구 가루이자와 긴자 거리&amp;가루이자와 아울렛... ,https://blog.naver.com/smilemiso29/223659821028,20241114,naver_blog,"매년 가을이면 폭포 주변의 숲이 녹색에서 붉은색, 노란색으로 물들고, 하얀 비단처럼 떨어지는 폭포의 아름다운 풍경은 수많은 관광객을 끌어모으고 있습니다.",3번 (청량/애니메이션)
가루이자와,구 가루이자와 긴자 거리,"산책+조식부페, 구 가루이자와긴자거리(旧軽井沢銀座通り)... ",https://blog.naver.com/nyaions/223634418798,20241026,naver_blog,눈이 행복한 산책길 이게 호텔 앞마당이라니 너무 좋다 곳곳에 숨어있는 독채 형태의 객실들 미국에 있는 느낌 삼림욕 쌉 가능 호텔 이제 짐을 싸서 차에 싣고 구 가루이자와 긴자거리 를 구경하고 구사츠온천으로 이동할 거다.,2번 (레트로/빈티지)
가루이자와,구 가루이자와 긴자 거리,구(旧)가루이자와 긴자 거리(旧軽井沢銀座通り),https://blog.naver.com/japanstory2813/224028514902,20251001,naver_blog,"수많은 사람들, 오래된 상점에서 풍겨오는 고소한 빵 냄새, 그리고 역사를 품은 건물들이 어우러진 곳.",2번 (레트로/빈티지)
가루이자와,구 가루이자와 긴자 거리,구(旧)가루이자와 긴자 거리(旧軽井沢銀座通り),https://blog.naver.com/japanstory2813/224028514902,20251001,naver_blog,"이곳은 가루이자와 의 과거와 현재가 교차하는 심장부, 구 가루이자와 긴자 거리 입니다.",3번 (청량/애니메이션)
가루이자와,구 가루이자와 긴자 거리,구(旧)가루이자와 긴자 거리(旧軽井沢銀座通り),https://blog.naver.com/japanstory2813/224028514902,20251001,naver_blog,"이 거리의 이야기는 수백 년 전, 일본의 에도 시대 로 거슬러 올라갑니다.",2번 (레트로/빈티지)
가루이자와,구 가루이자와 긴자 거리,구(旧)가루이자와 긴자 거리(旧軽井沢銀座通り),https://blog.naver.com/japanstory2813/224028514902,20251001,naver_blog,"카루이자와 슈큐 당시 이곳은 에도 현재의 도쿄 와 교토 를 잇는 중요한 길, 나카센도 의 69개 역참 마을 중 하나인 가루이자와슈쿠 였습니다.",2번 (레트로/빈티지)
가루이자와,시라이토노타키 폭포,일본 가루이자와여행 시라이토노타키 폭포 JR도쿄와이드패스,https://blog.naver.com/challiya/223684853286,20241223,naver_blog,26.일본 가루이자와여행 시라이토노타키 폭포 JR도쿄와이드패스 일본 도쿄 11박12일 자유여행 1일차 인천공항 도쿄나리타국제공항 우에노1박 2일차 우에노 쿠사츠온천 우에노2박 3일차 우에노 에치고유자와 가루이자와 우에노3박 4일차 우에노 닛코 신주쿠1박 5일차 신주쿠 오야마 등산 신주쿠2박 6일차 신주쿠 후지산하코네1일투어 신주쿠3박 7일차 신주쿠 디즈니랜드 신주쿠4박 8일차 신주쿠 진바산 다카오산 등산 신주쿠5박 9일차 신주쿠 도쿄 시내 관광 신주쿠6박 10일차 신주쿠 도쿄 시내 관광 신주쿠7박 11일차 신주쿠 츠쿠바산 등산 신주쿠8박 12일차 신주쿠 도쿄나리타국제공항 인천공항 안녕하세요.,1번 (고즈넉/사색)
